Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1365281;GESTÃO COMERCIAL;Presencial;-;19/02/2018;28/09/2017;Extinto
UNIVERSIDADE TIRADENTES;UNIT;Privada com fins lucrativos;1299195;GESTÃO COMERCIAL;A Distância;-;16/07/2013;02/04/2013;Em Atividade
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Privada sem fins lucrativos;1517187;GESTÃO COMERCIAL;A Distância;-;29/02/2020;05/12/2019;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1266725;GESTÃO COMERCIAL;A Distância;4;01/01/2014;26/09/2013;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1484082;GESTÃO COMERCIAL;A Distância;-;29/07/2019;13/05/2019;Em Atividade
FACULDADE SANTA MARCELINA;FASM;Privada sem fins lucrativos;1374095;GESTÃO COMERCIAL;A Distância;4;21/01/2019;21/12/2018;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;112506;GESTÃO COMERCIAL;A Distância;3;12/03/2008;26/10/2005;Em Atividade
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Privada sem fins lucrativos;5001288;GESTÃO COMERCIAL;A Distância;4;07/04/2014;25/11/2013;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1182180;GESTÃO COMERCIAL;A Distância;3;27/02/2012;18/08/2011;Em Atividade
Centro Universitário Anhanguera Pitágoras Unopar de Niterói;UNIAN-RJ;Privada com fins lucrativos;1563010;GESTÃO COMERCIAL;A Distância;-;10/08/2021;29/01/2021;Em Atividade
UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Privada sem fins lucrativos;1517236;GESTÃO COMERCIAL;A Distância;-;10/02/2020;11/12/2019;Em Atividade
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;Privada sem fins lucrativos;1420097;GESTÃO COMERCIAL;A Distância;-;19/02/2018;05/10/2017;Em Atividade
UNIVERSIDADE LA SALLE;UNILASALLE;Privada sem fins lucrativos;1427354;GESTÃO COMERCIAL;A Distância;5;01/03/2018;12/05/2017;Em Atividade
UNIVERSIDADE DE TAUBATÉ;UNITAU;Pública Municipal;1152595;GESTÃO COMERCIAL;A Distância;3;20/02/2010;-;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1107827;GESTÃO COMERCIAL;A Distância;4;06/02/2012;17/08/2009;Em Atividade
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Privada sem fins lucrativos;1396106;GESTÃO COMERCIAL;A Distância;5;07/02/2017;09/08/2016;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1520008;GESTÃO COMERCIAL;A Distância;-;03/02/2020;10/01/2020;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1350076;GESTÃO COMERCIAL;A Distância;-;23/03/2020;16/05/2014;Em Atividade
UNIVERSIDADE DO VALE DO TAQUARI;UNIVATES;Privada sem fins lucrativos;1599035;GESTÃO COMERCIAL;A Distância;-;14/02/2022;17/12/2021;Em Atividade
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1458094;GESTÃO COMERCIAL;A Distância;4;06/10/2018;28/09/2018;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;119588;GESTÃO COMERCIAL;A Distância;4;16/03/2009;06/06/2008;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;121582;GESTÃO COMERCIAL;Presencial;-;03/02/2009;06/06/2008;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1143541;GESTÃO COMERCIAL;Presencial;4;23/05/2011;11/02/2011;Em Extinção
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1158913;GESTÃO COMERCIAL;A Distância;-;16/05/2011;15/04/2011;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1161842;GESTÃO COMERCIAL;Presencial;-;Não iniciado;09/05/2011;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1427442;GESTÃO COMERCIAL;Presencial;-;13/03/2019;21/12/2017;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;99012;GESTÃO COMERCIAL;A Distância;4;27/10/2006;14/08/2006;Em Atividade
CENTRO UNIVERSITÁRIO FAEL;UNIFAEL;Privada com fins lucrativos;1304616;GESTÃO COMERCIAL;A Distância;5;01/03/2016;08/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS;-;Privada sem fins lucrativos;1177690;GESTÃO COMERCIAL;Presencial;-;10/02/2014;25/11/2013;Extinto
CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS;-;Privada sem fins lucrativos;1575860;GESTÃO COMERCIAL;Presencial;-;Não iniciado;29/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1170115;GESTÃO COMERCIAL;A Distância;4;16/04/2011;11/07/2013;Em Atividade
FACULDADE VISCONDE DE CAIRÚ;FAVIC;Privada sem fins lucrativos;1205425;GESTÃO COMERCIAL;Presencial;4;27/01/2014;25/10/2013;Em Atividade
FACULDADE VISCONDE DE CAIRÚ;FAVIC;Privada sem fins lucrativos;1513396;GESTÃO COMERCIAL;A Distância;5;Não iniciado;24/09/2021;Em Atividade
CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Privada com fins lucrativos;1425403;GESTÃO COMERCIAL;A Distância;-;16/07/2018;01/12/2017;Em Extinção
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;106072;GESTÃO COMERCIAL;A Distância;4;01/11/2005;27/09/2005;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1487588;GESTÃO COMERCIAL;A Distância;-;01/08/2019;04/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;89857;GESTÃO COMERCIAL;A Distância;-;10/02/2006;08/12/2005;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1379279;GESTÃO COMERCIAL;A Distância;-;09/02/2017;16/12/2015;Em Atividade
FACULDADE UNIME DE CIÊNCIAS SOCIAIS;FCS;Privada com fins lucrativos;119042;GESTÃO COMERCIAL;Presencial;4;10/08/2009;16/02/2009;Em Extinção
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1445618;GESTÃO COMERCIAL;A Distância;4;19/05/2018;10/05/2018;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1596627;GESTÃO COMERCIAL;A Distância;-;19/11/2021;19/11/2021;Em Atividade
Centro Universitário Favip Wyden;UniFavip Wyden;Privada com fins lucrativos;1438524;GESTÃO COMERCIAL;A Distância;5;19/02/2018;08/02/2018;Em Atividade
FACULDADE DO SUL DA BAHIA;FASB;Privada sem fins lucrativos;1143165;GESTÃO COMERCIAL;Presencial;-;Não iniciado;24/01/2013;Extinto
CENTRO UNIVERSITÁRIO DE LINS;UNILINS;Privada sem fins lucrativos;1598319;GESTÃO COMERCIAL;A Distância;-;Não iniciado;08/12/2021;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1445636;GESTÃO COMERCIAL;A Distância;-;06/03/2020;18/06/2018;Em Atividade
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1486131;GESTÃO COMERCIAL;A Distância;-;04/07/2019;03/06/2019;Em Atividade
FACULDADE UNINASSAU LAURO DE FREITAS;-;Privada com fins lucrativos;1139649;GESTÃO COMERCIAL;Presencial;4;14/08/2012;18/08/2011;Em Extinção
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1156051;GESTÃO COMERCIAL;Presencial;4;02/03/2015;18/03/2013;Em Atividade
FACULDADE SANTO AGOSTINHO;FASA;Privada com fins lucrativos;1307914;GESTÃO COMERCIAL;A Distância;4;19/03/2018;22/09/2017;Em Extinção
FACULDADE SÃO SALVADOR;FSS;Privada com fins lucrativos;111054;GESTÃO COMERCIAL;Presencial;-;03/04/2008;04/04/2008;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1465655;GESTÃO COMERCIAL;A Distância;-;01/02/2019;12/11/2018;Em Atividade
Faculdade Anhanguera de Salvador;FACDELTA;Privada com fins lucrativos;1404933;GESTÃO COMERCIAL;Presencial;4;27/02/2020;01/03/2019;Extinto
FACULDADE MADRE THAIS;FMT;Privada com fins lucrativos;1261700;GESTÃO COMERCIAL;Presencial;-;01/05/2014;28/03/2014;Extinto
CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;Privada com fins lucrativos;1353153;GESTÃO COMERCIAL;A Distância;4;01/07/2018;-;Em Atividade
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1397053;GESTÃO COMERCIAL;A Distância;-;31/10/2017;31/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1513919;GESTÃO COMERCIAL;Presencial;-;02/01/2020;16/09/2019;Em Atividade
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1465696;GESTÃO COMERCIAL;A Distância;-;18/02/2019;04/01/2019;Em Atividade
FACULDADE DOM LUIS DE ORLEANS E BRAGANÇA;FDL;Privada com fins lucrativos;1280042;GESTÃO COMERCIAL;Presencial;-;29/10/2014;30/10/2014;Extinto
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1524559;GESTÃO COMERCIAL;A Distância;-;14/09/2021;16/04/2020;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1524669;GESTÃO COMERCIAL;A Distância;-;Não iniciado;14/04/2020;Extinto
Centro Universitário UNIRB - Alagoinhas;-;Privada com fins lucrativos;1150863;GESTÃO COMERCIAL;Presencial;-;05/12/2012;08/10/2012;Extinto
Faculdade Unyleya;-;Privada com fins lucrativos;1548722;GESTÃO COMERCIAL;A Distância;4;25/02/2022;29/10/2021;Em Atividade
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1258620;GESTÃO COMERCIAL;A Distância;5;05/08/2013;22/02/2013;Em Atividade
FACULDADE DOM PEDRO II DE TECNOLOGIA;FDP II Tec;Privada com fins lucrativos;107958;GESTÃO COMERCIAL;Presencial;4;04/08/2008;30/11/2007;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1540627;GESTÃO COMERCIAL;A Distância;-;03/07/2020;03/07/2020;Em Atividade
IPOG - INSTITUTO DE PÓS-GRADUAÇÃO & GRADUAÇÃO;IPOG;Privada com fins lucrativos;1536789;GESTÃO COMERCIAL;A Distância;4;09/12/2021;24/09/2021;Em Atividade
FACULDADE DE GESTAO E NEGOCIOS DE SALVADOR;FGN;Privada com fins lucrativos;1136111;GESTÃO COMERCIAL;Presencial;3;11/04/2016;26/08/2014;Em Atividade
Faculdade Católica Paulista;FACAP;Privada sem fins lucrativos;1396411;GESTÃO COMERCIAL;A Distância;5;18/02/2019;06/11/2018;Em Atividade
FACULDADE UNINASSAU FEIRA DE SANTANA;-;Privada com fins lucrativos;1192925;GESTÃO COMERCIAL;Presencial;4;07/03/2016;14/12/2015;Extinto
Faculdade AGES de Senhor do Bonfim;Faculdade AGES;Privada com fins lucrativos;1527291;GESTÃO COMERCIAL;Presencial;5;Não iniciado;06/10/2021;Em Atividade
Faculdade AGES de Jacobina;Faculdade AGES;Privada com fins lucrativos;1527297;GESTÃO COMERCIAL;Presencial;4;Não iniciado;19/11/2021;Em Atividade
FACULDADE TIRADENTES DE FEIRA DE SANTANA;FITS;Privada com fins lucrativos;1311683;GESTÃO COMERCIAL;Presencial;-;13/08/2018;22/05/2017;Extinto
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1573861;GESTÃO DA INOVAÇÃO;A Distância;-;30/04/2021;22/03/2021;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1575209;GESTÃO DA INOVAÇÃO E EMPREENDEDORISMO DIGITAL;A Distância;-;Não iniciado;15/03/2021;Em Atividade
Faculdade Multivix Serra;MULTIVIX SERRA;Privada com fins lucrativos;1498082;GESTÃO DA PRODUÇÃO;A Distância;5;Não iniciado;19/10/2021;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1444005;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;4;06/08/2018;05/06/2018;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1428621;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;01/02/2018;13/12/2017;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1357958;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;5;15/02/2016;03/08/2015;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1599855;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;21/02/2022;21/02/2022;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1484574;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;18/02/2019;07/12/2018;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1385321;GESTÃO DA PRODUÇÃO INDUSTRIAL;Presencial;-;06/08/2018;13/06/2018;Extinto
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1427615;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;4;01/02/2018;15/12/2017;Em Atividade
UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;Privada sem fins lucrativos;1205436;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;29/07/2013;09/11/2012;Em Atividade
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Privada sem fins lucrativos;1160026;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;07/10/2009;07/10/2009;Em Extinção
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1428586;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;5;01/02/2018;19/12/2017;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1363727;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;5;13/05/2016;30/09/2015;Em Atividade
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1570882;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;27/02/2021;15/02/2021;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1589529;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;09/08/2021;09/08/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1562738;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;22/02/2021;02/10/2020;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1468879;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;07/03/2019;28/12/2018;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;80873;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;5;01/04/2005;26/01/2005;Em Atividade
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1551166;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;19/10/2020;19/10/2020;Em Atividade
CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;UNI SANTA CRUZ;Privada sem fins lucrativos;1604245;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;21/03/2022;21/03/2022;Em Atividade
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1308554;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;4;07/03/2016;02/03/2016;Em Atividade
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1465699;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;18/02/2019;04/01/2019;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1572534;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;14/09/2021;22/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI CIMATEC;Privada sem fins lucrativos;109632;GESTÃO DA PRODUÇÃO INDUSTRIAL;Presencial;4;09/02/2009;28/02/2008;Em Extinção
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1550072;GESTÃO DA PRODUÇÃO INDUSTRIAL;A Distância;-;14/09/2020;14/09/2020;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1485613;GESTÃO DA QUALIDADE;A Distância;-;03/08/2019;10/05/2019;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1443967;GESTÃO DA QUALIDADE;A Distância;-;19/09/2018;05/06/2018;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1382769;GESTÃO DA QUALIDADE;A Distância;4;01/02/2017;14/12/2016;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1562875;GESTÃO DA QUALIDADE;A Distância;-;15/02/2021;04/02/2021;Em Atividade
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada sem fins lucrativos;1354130;GESTÃO DA QUALIDADE;A Distância;4;01/08/2017;12/06/2017;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1576072;GESTÃO DA QUALIDADE;A Distância;-;02/08/2021;07/05/2021;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1382606;GESTÃO DA QUALIDADE;A Distância;4;26/01/2017;15/06/2016;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1265264;GESTÃO DA QUALIDADE;A Distância;5;01/02/2012;10/12/2008;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1270312;GESTÃO DA QUALIDADE;A Distância;4;17/02/2014;21/11/2013;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1382697;GESTÃO DA QUALIDADE;A Distância;5;01/02/2017;19/10/2016;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1484083;GESTÃO DA QUALIDADE;A Distância;-;29/07/2019;13/05/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1428312;GESTÃO DA QUALIDADE;A Distância;-;19/02/2018;13/12/2017;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1382708;GESTÃO DA QUALIDADE;A Distância;5;01/02/2017;17/10/2016;Em Atividade
UNIVERSIDADE LA SALLE;UNILASALLE;Privada sem fins lucrativos;1599526;GESTÃO DA QUALIDADE;A Distância;-;Não iniciado;21/01/2022;Em Atividade
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Privada sem fins lucrativos;1518638;GESTÃO DA QUALIDADE;A Distância;-;12/02/2020;20/12/2019;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1131360;GESTÃO DA QUALIDADE;Presencial;-;17/12/2010;17/12/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1122774;GESTÃO DA QUALIDADE;Presencial;-;16/08/2010;20/01/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1161852;GESTÃO DA QUALIDADE;Presencial;-;Não iniciado;09/05/2011;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1589582;GESTÃO DA QUALIDADE;A Distância;-;09/08/2021;09/08/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1342814;GESTÃO DA QUALIDADE;A Distância;5;27/02/2016;03/09/2015;Em Atividade
CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE;UNIANDRADE;Privada sem fins lucrativos;1420451;GESTÃO DA QUALIDADE;A Distância;-;26/02/2018;20/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1468851;GESTÃO DA QUALIDADE;A Distância;-;07/03/2019;28/12/2018;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1363690;GESTÃO DA QUALIDADE;A Distância;5;18/07/2016;01/02/2016;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1487589;GESTÃO DA QUALIDADE;A Distância;-;01/08/2019;04/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1595448;GESTÃO DA QUALIDADE;A Distância;-;14/02/2022;29/10/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1457698;GESTÃO DA QUALIDADE;A Distância;4;19/09/2018;19/09/2018;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1596628;GESTÃO DA QUALIDADE;A Distância;-;19/11/2021;19/11/2021;Em Atividade
CENTRO UNIVERSITÁRIO DE LINS;UNILINS;Privada sem fins lucrativos;1599210;GESTÃO DA QUALIDADE;A Distância;-;Não iniciado;14/02/2022;Em Atividade
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1486132;GESTÃO DA QUALIDADE;A Distância;-;04/07/2019;03/06/2019;Em Atividade
CENTRO UNIVERSITÁRIO ATENEU;-;Privada com fins lucrativos;1599201;GESTÃO DA QUALIDADE;A Distância;-;22/02/2022;22/02/2022;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1304538;GESTÃO DA QUALIDADE;A Distância;4;10/01/2014;23/12/2013;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1363806;GESTÃO DA QUALIDADE;A Distância;-;Não iniciado;04/07/2016;Extinto
CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;Privada com fins lucrativos;1452036;GESTÃO DA QUALIDADE;A Distância;-;15/08/2018;15/08/2018;Em Atividade
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1465701;GESTÃO DA QUALIDADE;A Distância;-;18/02/2019;04/01/2019;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1562722;GESTÃO DA QUALIDADE;A Distância;-;14/09/2021;10/02/2021;Em Atividade
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1586407;GESTÃO DA QUALIDADE;A Distância;-;01/02/2022;09/08/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1550077;GESTÃO DA QUALIDADE;A Distância;-;14/09/2020;14/09/2020;Em Atividade
Faculdade Católica Paulista;FACAP;Privada sem fins lucrativos;1396399;GESTÃO DA QUALIDADE;A Distância;5;18/02/2019;06/11/2018;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484106;GESTÃO DA SEGURANÇA E DEFESA CIBERNÉTICA;A Distância;-;05/04/2019;01/04/2019;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1524015;GESTÃO DAS ORGANIZAÇÕES DO TERCEIRO SETOR;A Distância;-;03/02/2020;31/01/2020;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1524045;GESTÃO DAS ORGANIZAÇÕES DO TERCEIRO SETOR;A Distância;-;03/02/2020;31/10/2019;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1524056;GESTÃO DAS ORGANIZAÇÕES DO TERCEIRO SETOR;A Distância;-;03/02/2020;30/10/2019;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1361795;GESTÃO DAS ORGANIZAÇÕES DO TERCEIRO SETOR;A Distância;5;23/02/2015;03/09/2015;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484150;GESTÃO DAS ORGANIZAÇÕES DO TERCEIRO SETOR;A Distância;5;02/04/2019;01/04/2019;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1537207;GESTÃO DAS RELAÇÕES ELETRÔNICAS;A Distância;-;29/07/2020;01/06/2020;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;115902;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;A Distância;-;04/02/2009;13/08/2008;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;123803;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;A Distância;3;12/08/2008;19/12/2007;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1119481;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;A Distância;4;08/02/2010;08/02/2010;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1258541;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;A Distância;-;04/02/2013;19/12/2012;Em Atividade
